Rubro Económico|Subtipo Rubro Económico|Código Actividad Económica|Actividad Económica|Afecto a IVA|Categoría Tributaria|Disponible Internet
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011101|CULTIVO DE TRIGO|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011102|CULTIVO DE MAÍZ|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011103|CULTIVO DE AVENA|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011104|CULTIVO DE CEBADA|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011105|CULTIVO DE OTROS CEREALES (EXCEPTO TRIGO, MAÍZ, AVENA Y CEBADA)|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011106|CULTIVO DE POROTOS|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011107|CULTIVO DE LUPINO|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011108|CULTIVO DE OTRAS LEGUMBRES (EXCEPTO POROTOS Y LUPINO)|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011109|CULTIVO DE SEMILLAS DE RAPS|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011110|CULTIVO DE SEMILLAS DE MARAVILLA (GIRASOL)|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011111|CULTIVO DE SEMILLAS DE CEREALES, LEGUMBRES Y OLEAGINOSAS (EXCEPTO SEMILLAS DE RAPS Y MARAVILLA)|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011200|CULTIVO DE ARROZ|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011301|CULTIVO DE PAPAS|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011302|CULTIVO DE CAMOTES|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011303|CULTIVO DE OTROS TUBÉRCULOS (EXCEPTO PAPAS Y CAMOTES)|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011304|CULTIVO DE REMOLACHA AZUCARERA|SI|1|SI
AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA|CULTIVO DE PLANTAS NO PERENNES|011305|CULTIVO DE SEMILLAS DE HORTALIZAS|SI|1|SI
